timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1404237600,Jul 01 2014 - 6:00pm,complete,323,FC Santa Coloma,Banants,N/A,N/A,0.00,0.00,0.75,1.50,1,0,1,1,1,0,"5","",7,7,2,0,2,0,1,1,2,0,6,6,4,5,2,1,13,15,41,59,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadi Comunal d'Andorra la Vella (Andorra la Vella)
1404239400,Jul 01 2014 - 6:30pm,complete,438,La Fiorita,Tallinna FC Levadia,N/A,N/A,0.00,0.00,0.00,1.75,0,1,1,0,0,0,"","90'3",2,5,4,0,1,0,1,3,0,1,5,21,2,11,3,10,15,14,35,65,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Olimpico di Serravalle
1404324000,Jul 02 2014 - 6:00pm,complete,1821,Lincoln Red Imps,HB,N/A,N/A,0.00,0.00,0.50,1.00,1,1,2,1,1,0,"18","71",6,3,3,0,1,0,0,3,0,1,11,8,5,5,6,3,14,11,46,54,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Victoria Stadium
1404828000,Jul 08 2014 - 2:00pm,complete,1500,Banants,FC Santa Coloma,N/A,N/A,0.00,3.00,1.50,0.75,3,2,5,2,1,1,"29,47,56","20,90'5",5,4,6,1,3,0,1,6,1,2,5,8,2,4,3,4,24,14,57,43,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,100,0,0,14.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Armenia Football Academy grass
1404835200,Jul 08 2014 - 4:00pm,complete,1455,Tallinna FC Levadia,La Fiorita,N/A,N/A,3.00,0.00,1.75,0.00,7,0,7,2,2,0,"7,30,48,72,75,85,90'2","",11,0,1,0,4,0,0,1,1,3,16,5,7,0,9,5,23,13,71,29,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,100,7.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kadrioru staadion
1404842400,Jul 08 2014 - 6:00pm,complete,1068,HB,Lincoln Red Imps,N/A,N/A,1.00,1.00,1.00,0.50,5,2,7,3,3,0,"11,25,34,81,88","50,77",-1,-1,3,0,1,0,0,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,100,100,0,0,0,0,100,0,100,9.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tórsvøllur
1405445400,Jul 15 2014 - 5:30pm,complete,5100,Zrinjski,Maribor,N/A,N/A,0.00,0.00,0.50,1.25,0,0,0,0,0,0,"","",5,6,2,1,1,0,2,1,0,1,9,7,2,2,7,5,7,10,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Bijeli Brijeg
1405447200,Jul 15 2014 - 6:00pm,complete,1500,Rabotnički,HJK,N/A,N/A,0.00,0.00,0.50,1.25,0,0,0,0,0,0,"","",2,9,3,0,0,0,2,1,0,0,10,12,6,9,4,3,12,6,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Nacionalna Arena Filip II Makedonski
1405447200,Jul 15 2014 - 6:00pm,complete,494,FC Santa Coloma,Maccabi Tel Aviv,N/A,N/A,1.50,0.00,0.75,1.75,0,1,1,0,0,0,"","64",2,7,3,0,2,0,1,2,1,1,6,9,2,4,4,5,10,10,38,62,0.00,0.00,0.00,0.00,1.50,25,25,25,25,25,25,50,25,25,5.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadi Comunal d'Andorra la Vella (Andorra la Vella)
1405449900,Jul 15 2014 - 6:45pm,complete,4211,Dinamo Zagreb,Žalgiris,N/A,N/A,0.00,0.00,2.25,0.00,2,0,2,0,0,0,"58,70","",6,2,2,0,3,0,2,0,2,1,14,6,5,0,9,6,16,7,67,33,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Maksimir
