timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1314460800,Aug 27 2011 - 4:00pm,complete,19000,Sporting Gijón,Real Sociedad,José Luis Paradas Romero,2,0.00,0.00,1.32,0.74,1,2,3,1,0,1,"68","35,65",9,2,3,1,1,1,1,3,0,2,17,6,5,3,12,3,13,10,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Municipal El Molinón (Gijón)
1314468000,Aug 27 2011 - 6:00pm,complete,32000,Valencia CF,Racing Santander,Javier Estrada Fernández,2,0.00,0.00,1.95,0.58,4,3,7,3,1,2,"2,58,88,90","7,14,56",10,3,3,0,3,0,2,1,2,1,25,8,12,4,13,4,14,10,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio de Mestalla (Valencia)
1314475200,Aug 27 2011 - 8:00pm,complete,18000,Granada CF,Real Betis,Miguel Ángel Pérez Lasa,2,0.00,0.00,1.53,1.00,0,1,1,0,0,0,"","88",8,5,2,0,2,0,2,0,1,1,12,19,3,4,9,15,12,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nuevo Los Cármenes (Granada)
1314525600,Aug 28 2011 - 10:00am,complete,28000,Atlético Madrid,CA Osasuna,Miguel Ángel Ayza Gámez,2,0.00,0.00,2.00,0.95,0,0,0,0,0,0,"","",12,5,1,0,0,0,0,1,0,0,29,17,9,3,20,14,9,8,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Vicente Calderón (Madrid)
1314540000,Aug 28 2011 - 2:00pm,complete,35000,Athletic Club Bilbao,Rayo Vallecano,José Antonio Teixeira Vitienes,2,0.00,0.00,1.63,0.95,1,1,2,0,0,0,"56","62",9,4,1,0,3,0,0,1,0,3,11,14,5,7,6,7,16,18,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio San Mamés (old) (Bilbao)
1314547200,Aug 28 2011 - 4:00pm,complete,10000,RCD Mallorca,RCD Espanyol,Pedro Jesús Pérez Montero,2,0.00,0.00,1.68,0.79,1,0,1,0,0,0,"62","",5,4,2,0,3,0,2,0,2,1,13,9,5,4,8,5,21,15,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Iberostar Estadi (Palma de Mallorca)
1314547200,Aug 28 2011 - 4:00pm,complete,9000,Getafe CF,Levante UD,Ignacio Iglesias Villanueva,2,0.00,0.00,1.58,1.00,1,1,2,0,0,0,"62","77",1,4,5,0,3,0,2,3,2,1,9,12,3,5,6,7,14,6,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Coliseum Alfonso Pérez (Getafe)
1314554400,Aug 28 2011 - 6:00pm,complete,30000,Real Zaragoza,Real Madrid,César Muñiz Fernández,2,0.00,0.00,1.47,2.63,0,6,6,2,0,2,"","24,29,64,71,82,86",7,9,2,0,1,0,2,0,0,1,9,34,3,17,6,17,15,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio de la Romareda (Zaragoza)
1314561600,Aug 28 2011 - 8:00pm,complete,35000,Sevilla FC,Málaga CF,Carlos Delgado Ferreiro,2,0.00,0.00,1.63,0.84,2,1,3,2,2,0,"2,26","81",2,8,3,0,1,0,0,3,1,0,16,7,10,2,6,5,14,7,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Ramón Sánchez Pizjuán (Sevilla)
1314644400,Aug 29 2011 - 7:00pm,complete,75097,FC Barcelona,Villarreal,N/A,2,0.00,0.00,2.74,0.68,5,0,5,2,2,0,"25,45,47,52,75","",12,0,3,0,3,0,2,1,1,2,19,6,10,3,9,3,15,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Camp Nou (Barcelona)
1315670400,Sep 10 2011 - 4:00pm,complete,25000,Real Sociedad,FC Barcelona,Antonio Miguel Mateu Lahoz,3,0.00,0.00,1.74,2.05,2,2,4,2,0,2,"59,61","10,11",5,4,2,0,2,0,0,2,0,2,11,14,4,7,7,7,10,16,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Reale Arena (Donostia-San Sebastián)
1315670400,Sep 10 2011 - 4:00pm,complete,19000,Villarreal,Sevilla FC,Fernando Teixeira Vitienes,3,0.00,0.00,1.47,1.00,2,2,4,2,1,1,"35,73","24,86",2,1,2,1,4,0,1,2,2,2,12,11,6,6,6,5,15,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio de la Cerámica (Villarreal)
1315677600,Sep 10 2011 - 6:00pm,complete,75000,Real Madrid,Getafe CF,Carlos Clos Gómez,3,0.00,0.00,2.63,0.89,4,2,6,2,1,1,"14,60,69,88","39,74",4,6,3,0,3,0,1,2,2,1,27,11,11,7,16,4,9,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Santiago Bernabéu (Madrid)
1315684800,Sep 10 2011 - 8:00pm,complete,45000,Valencia CF,Atlético Madrid,José Luis González González,3,3.00,0.00,1.95,0.95,1,0,1,0,0,0,"52","",3,7,1,0,2,0,0,1,1,1,13,13,7,3,6,10,15,18,50,50,0.00,0.00,0.00,0.00,3.50,50,50,50,50,50,50,50,50,50,10.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio de Mestalla (Valencia)
1315735200,Sep 11 2011 - 10:00am,complete,35125,Real Betis,RCD Mallorca,Carlos Del Cerro Grande,3,0.00,0.00,1.47,1.05,1,0,1,0,0,0,"86","",7,5,2,0,4,0,1,1,2,2,25,10,8,3,17,7,9,17,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Benito Villamarín (Sevilla)
1315749600,Sep 11 2011 - 2:00pm,complete,10500,Racing Santander,Levante UD,Alberto Undiano Mallenco,3,0.00,1.00,0.84,1.00,0,0,0,0,0,0,"","",2,4,3,1,2,0,1,3,0,2,9,12,2,4,7,8,13,19,50,50,0.00,0.00,0.00,0.00,1.00,50,50,0,0,0,0,0,50,50,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Campos de Sport de El Sardinero (Santander)
