timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1565982000,Aug 16 2019 - 7:00pm,complete,47693,Athletic Club Bilbao,FC Barcelona,Carlos Del Cerro Grande,1,0.00,0.00,1.63,1.68,1,0,1,0,0,0,"89","",3,8,1,0,1,0,0,1,0,1,12,9,6,3,6,6,14,9,27,73,0.00,0.00,1.41,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,3.85,1.77,1.24,1.77,2.95,5.55,1.74,1.95,San Mamés Barria (Bilbao)
1566054000,Aug 17 2019 - 3:00pm,complete,23566,Celta de Vigo,Real Madrid,Javier Estrada Fernández,1,0.00,0.00,1.21,2.00,1,3,4,1,0,1,"90'1","12,61,80",6,4,6,0,2,1,3,3,1,2,7,15,5,12,2,3,17,12,56,44,0.00,0.00,1.19,2.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.50,4.00,1.80,1.15,1.50,2.25,3.85,1.50,2.40,Abanca-Balaídos (Vigo)
1566061200,Aug 17 2019 - 5:00pm,complete,41846,Valencia CF,Real Sociedad,Jesús Gil Manzano,1,0.00,0.00,2.11,1.32,1,1,2,0,0,0,"58","90'11",3,3,3,1,4,0,0,4,3,1,11,9,7,4,4,5,13,14,36,64,0.00,0.00,1.48,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.25,2.35,1.44,1.90,4.33,9.00,1.95,1.80,Estadio de Mestalla (Valencia)
1566064800,Aug 17 2019 - 6:00pm,complete,15127,RCD Mallorca,SD Eibar,Mario Melero López,1,0.00,0.00,1.42,0.79,2,1,3,1,1,0,"4,75","57",9,3,2,0,3,0,1,1,0,3,14,12,4,6,10,6,13,14,36,64,0.00,0.00,1.39,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,3.15,2.65,1.42,2.30,4.35,8.50,1.91,1.77,Iberostar Estadi (Palma de Mallorca)
1566068400,Aug 17 2019 - 7:00pm,complete,10020,Leganés,CA Osasuna,Javier Alberola Rojas,1,0.00,0.00,1.05,1.26,0,1,1,0,0,0,"","75",8,0,1,1,4,0,0,2,3,1,9,5,3,3,6,2,17,12,51,49,0.00,0.00,1.13,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.25,4.20,1.53,2.65,5.25,10.75,2.20,1.57,Estadio Municipal de Butarque (Leganés)
1566068400,Aug 17 2019 - 7:00pm,complete,14753,Villarreal,Granada CF,Adrián Cordero Vega,1,0.00,0.00,1.68,1.21,4,4,8,2,1,1,"35,53,65,73","45'6,62,75,81",2,7,3,0,1,0,2,1,0,1,11,12,8,8,3,4,10,16,54,46,0.00,0.00,1.44,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.00,6.75,1.33,2.00,3.60,7.00,2.05,1.69,Estadio de la Cerámica (Villarreal)
1566140400,Aug 18 2019 - 3:00pm,complete,10053,Deportivo Alavés,Levante UD,César Soto Grado,1,0.00,0.00,1.42,0.89,1,0,1,0,0,0,"54","",2,9,2,0,1,0,1,1,1,0,9,12,3,5,6,7,18,15,37,63,0.00,0.00,1.10,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.30,3.40,1.34,2.05,3.75,7.25,1.80,1.87,Estadio de Mendizorroza (Vitoria-Gasteiz)
1566147600,Aug 18 2019 - 5:00pm,complete,18920,RCD Espanyol,Sevilla FC,Juan Martínez Munuera,1,0.00,0.00,0.63,1.74,0,2,2,1,0,1,"","44,86",8,4,2,0,2,0,0,2,1,1,7,11,3,5,4,6,11,17,44,56,0.00,0.00,0.82,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.50,2.40,1.28,1.91,3.25,6.25,1.69,2.00,RCDE Stadium (Cornella de Llobregat)
1566154800,Aug 18 2019 - 7:00pm,complete,49554,Real Betis,Real Valladolid,Santiago Jaime Latre,1,0.00,0.00,1.63,0.89,1,2,3,0,0,0,"68","63,89",6,1,2,1,6,0,2,1,3,3,10,11,5,4,5,7,11,19,47,53,0.00,0.00,1.31,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.80,6.30,1.35,2.10,3.80,7.25,2.00,1.69,Estadio Benito Villamarín (Sevilla)
1566158400,Aug 18 2019 - 8:00pm,complete,55099,Atlético Madrid,Getafe CF,Guillermo Cuadra Fernández,1,0.00,0.00,2.21,1.26,1,0,1,1,1,0,"23","",3,4,2,1,4,1,2,1,2,3,6,5,6,0,0,5,19,22,57,43,0.00,0.00,1.15,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.45,8.00,1.38,2.20,4.10,8.00,2.40,1.49,Estadio Wanda Metropolitano (Madrid)
