timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,Season
1221321600,Sep 13 2008 - 4:00pm,complete,23000.0,Palermo,Roma,,2.0,0.0,0.0,2.26,1.05,3,1,4,2,1,1,"19,58,74",8,-1,-1,1,0,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Renzo Barbera (Palermo),2008-to-2009
1221330600,Sep 13 2008 - 6:30pm,complete,45000.0,Inter Milan,Catania,Antonio Damato,2.0,0.0,0.0,2.47,0.47,2,1,3,2,1,1,"43,49",42,-1,-1,2,1,5,0,1,2,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Giuseppe Meazza (Milano),2008-to-2009
1221397200,Sep 14 2008 - 1:00pm,complete,17809.0,Bologna,Atalanta,Paolo Valeri,2.0,0.0,0.0,1.11,0.74,0,1,1,1,0,1,,9,-1,-1,2,0,6,0,1,1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Renato Dall'Ara (Bologna),2008-to-2009
1221397200,Sep 14 2008 - 1:00pm,complete,30000.0,Genoa,AC Milan,Gianluca Rocchi,2.0,0.0,0.0,2.16,1.53,2,0,2,1,1,0,"30,90'1",,-1,-1,2,0,4,0,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Comunale Luigi Ferraris (Genova),2008-to-2009
1221397200,Sep 14 2008 - 1:00pm,complete,35000.0,Lazio,Sampdoria,,2.0,0.0,0.0,1.47,0.74,2,0,2,1,1,0,"7,72",,-1,-1,0,0,2,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Olimpico (Roma),2008-to-2009
1221397200,Sep 14 2008 - 1:00pm,complete,7862.0,Lecce,Chievo,Paolo Silvio Mazzoleni,2.0,0.0,0.0,1.0,1.11,2,0,2,0,0,0,"47,83",,-1,-1,2,0,2,0,0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Comunale Via del Mare (Lecce),2008-to-2009
1221397200,Sep 14 2008 - 1:00pm,complete,,Napoli,Fiorentina,Paolo Tagliavento,2.0,0.0,0.0,1.84,1.26,2,1,3,1,0,1,"48,70",40,-1,-1,3,0,3,0,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio San Paolo (Napoli),2008-to-2009
1221397200,Sep 14 2008 - 1:00pm,complete,8000.0,Reggina,Torino,,2.0,0.0,0.0,0.95,0.47,1,1,2,2,1,1,43,13,-1,-1,3,0,2,0,2,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Oreste Granillo (Reggio Calabria),2008-to-2009
1221397200,Sep 14 2008 - 1:00pm,complete,9000.0,Robur Siena,Cagliari,Paolo Dondarini,2.0,0.0,0.0,1.68,0.84,2,0,2,1,1,0,"10,90'5",,-1,-1,3,0,3,0,1,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Comunale Artemio Franchi - Montepaschi Arena (Siena),2008-to-2009
1221417000,Sep 14 2008 - 6:30pm,complete,20320.0,Juventus,Udinese,Andrea De Marco,2.0,0.0,0.0,2.05,1.05,1,0,1,0,0,0,67,,-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stadio Olimpico Grande Torino (Torino),2008-to-2009
